Solution ID,Fail_Objective_Only,Fail_Subjective_Only,Fail_Both,Pass_All,Failed_Criteria
83354,1,0,0,0,[3]
83385,0,0,1,0,"[1, 2, 3, 4, 5]"
84152,0,0,0,1,[]
84162,0,1,0,0,[5]
84251,0,0,1,0,"[1, 2, 3, 5]"
84494,1,0,0,0,[4]
84888,0,0,1,0,"[2, 5]"
85314,0,1,0,0,[5]
85529,0,0,0,1,[]
85621,0,0,1,0,"[2, 5]"
85878,0,0,1,0,"[1, 3, 5]"
86838,1,0,0,0,[2]
86977,0,0,1,0,"[2, 5]"
87324,0,0,1,0,"[3, 5]"
87379,0,0,0,1,[]
87516,0,0,1,0,"[1, 3, 5]"
87667,0,0,1,0,"[1, 2, 3, 4, 5]"
87825,0,0,0,1,[]
87908,0,0,1,0,"[1, 3, 5]"
87959,0,0,0,1,[]
88187,0,1,0,0,[1]
88742,0,0,1,0,"[1, 2, 3, 5]"
88773,0,0,1,0,"[3, 4, 5]"
89735,1,0,0,0,[3]
89753,0,0,0,1,[]
89908,0,0,1,0,"[1, 4]"
89968,0,1,0,0,[1]
90290,0,0,0,1,[]
90511,0,0,0,1,[]
90561,0,1,0,0,"[1, 5]"
90668,0,0,1,0,"[1, 3, 5]"
90942,1,0,0,0,[3]
90944,0,0,0,1,[]
90981,0,0,1,0,"[1, 2, 3, 4, 5]"
91039,0,1,0,0,[5]
91099,0,0,0,1,[]
91182,0,0,0,1,[]
91301,0,0,1,0,"[2, 3, 5]"
91611,1,0,0,0,[4]
91812,0,0,1,0,"[1, 2, 3, 4, 5]"
92076,0,0,1,0,"[1, 2, 3, 5]"
92119,0,0,0,1,[]
92299,0,0,1,0,"[1, 2, 3, 5]"
92371,0,0,0,1,[]
92451,0,0,1,0,"[1, 2, 3, 5]"
92550,0,0,1,0,"[1, 2]"
92577,1,0,0,0,[4]
92726,0,0,1,0,"[3, 5]"
